[BLOCK_TYPE=0 SIG=2 X=177 Y=135 WIDTH= 37 HEIGHT= 35]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 34 HEIGHT= 35]
[BLOCK_TYPE=0 SIG=2 X=177 Y=136 WIDTH= 37 HEIGHT= 34]
[BLOCK_TYPE=0 SIG=2 X=177 Y=135 WIDTH= 37 HEIGHT= 34]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 34 HEIGHT= 34]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=178 Y=135 WIDTH= 30 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 34]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=178 Y=135 WIDTH= 36 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 33]
[BLOCK_TYPE=0 SIG=2 X=179 Y=135 WIDTH= 33 HEIGHT= 33]
